#auto generated file!
180.0;133;218;249
186.0;136;222;242
192.0;138;224;238
198.0;138;224;238
204.0;141;224;235
210.0;141;228;231
216.0;143;224;233
222.0;143;223;234
228.0;145;224;231
234.0;143;226;231
240.0;141;228;231
246.0;141;231;228
252.0;145;228;227
258.0;146;228;226
264.0;148;230;222
270.0;148;232;220
276.0;147;230;223
282.0;147;229;224
288.0;150;231;219
294.0;154;232;214
300.0;154;235;211
306.0;155;237;208
312.0;157;239;204
318.0;161;241;198
324.0;159;242;199
330.0;159;243;198
336.0;160;244;196
342.0;158;243;199
348.0;162;247;191
354.0;158;253;189
360.0;157;258;185
366.0;161;261;178
372.0;162;260;178
378.0;161;256;183
384.0;163;257;180
390.0;169;258;173
396.0;167;256;177
402.0;169;262;169
408.0;168;261;171
414.0;166;256;178
420.0;168;258;174
426.0;167;256;177
432.0;168;255;177
438.0;166;257;177
444.0;165;255;180
450.0;164;248;188
456.0;166;245;189
462.0;164;246;190
468.0;165;244;191
474.0;167;244;189
480.0;167;239;194
486.0;164;242;194
492.0;162;244;194
498.0;164;243;193
504.0;161;240;199
510.0;163;240;197
516.0;167;242;191
522.0;171;242;187
528.0;173;245;182
534.0;172;248;180
540.0;174;245;181
546.0;174;243;183
552.0;173;243;184
558.0;173;248;179
564.0;175;243;182
570.0;174;241;185
576.0;177;241;182
582.0;176;241;183
588.0;176;239;185
594.0;174;238;188
600.0;172;239;189
606.0;172;240;188
612.0;173;237;190
618.0;172;239;189
624.0;169;239;192
630.0;167;241;192
636.0;169;241;190
642.0;170;241;189
648.0;170;243;187
654.0;175;238;187
660.0;173;242;185
666.0;174;244;182
672.0;174;241;185
678.0;174;240;186
684.0;172;244;184
690.0;173;249;178
696.0;172;249;179
702.0;175;252;173
708.0;174;256;170
714.0;178;250;172
720.0;179;253;168
726.0;181;251;168
732.0;183;250;167
738.0;181;248;171
744.0;184;245;171
750.0;179;243;178
756.0;181;239;180
762.0;182;240;178
768.0;184;237;179
774.0;183;239;178
780.0;182;242;176
786.0;181;248;171
792.0;182;249;169
798.0;179;249;172
804.0;179;247;174
